Molecule_ChEMBL_IDs,Class,BCUTc-1l,BCUTi-1h,BCUTv-1h,PEOE_VSA2,BCUTi-1l,BCUTZ-1h,BCUTs-1l,SlogP_VSA5,Xch-6dv,BCUTd-1h,BCUTZ-1l,SMR_VSA3,Xc-5d,BCUTs-1h,BCUTp-1l,BCUTpe-1l,EState_VSA1,EState_VSA6,piPC9,BCUTdv-1l,BCUTare-1l,Xch-7dv,Xch-6d,ATSC1i
CHEMBL479149,1,-0.487211803,13.64279442,20.89750674,0.0,10.9542214,8.028892595,1.151731685,63.23330839,0.214750517,4.024266355,5.693742731,0.0,0.527638648,7.00827308,0.741480291,2.242454386,0.0,23.2789432,5.738385169,0.988707346,2.192686907,0.387515085,0.332630319,2.805333395
CHEMBL228119,1,-0.526318347,14.55091447,20.92224071,4.983978521,10.9323802,8.029519252,1.254096265,50.65766387,0.131636058,3.309424388,5.668860392,20.60153425,0.66884881,7.009382437,0.741407175,2.214627639,18.04226063,13.30664111,7.591887336,0.987180557,2.165587487,0.17975632,0.400859781,-19.48281004
CHEMBL435138,1,-0.361336794,14.58391119,20.95461722,74.99178987,10.93703259,8.034317581,1.249302917,92.02547369,0.474799813,3.265912079,5.676101362,99.35493306,1.956556192,7.018291158,0.750857206,2.225342834,131.4093147,97.71425561,7.972650536,1.855622983,2.175532247,0.540281717,1.437287393,10.81244635
CHEMBL1722692,1,-0.526506363,14.54954267,24.4374373,4.794537184,10.32922271,16.00475354,0.609719285,0.0,0.196796007,3.282877333,5.68323736,3.956661108,0.348773159,7.008277908,0.748925108,2.221351534,0.0,11.06645865,7.384532789,0.654729008,2.166815846,0.262797052,0.401706119,-9.443920354
CHEMBL4099524,1,-0.502307794,13.65146254,20.86295432,4.794537184,10.9793421,8.039008522,1.322435503,87.7531051,0.014731391,3.253686723,5.717951852,0.0,0.23570226,7.009368684,0.720624026,2.259900945,5.625586319,0.0,5.112552388,0.98714361,2.21137407,0.030384506,0.055555556,-1.550968409
CHEMBL2376557,1,-0.347227586,14.54906892,26.5238931,0.0,10.93013152,35.00041818,1.043832751,22.60826052,0.208333333,3.271292577,5.669639462,9.967957042,0.393471272,2.572184368,1.02459056,2.219093633,0.0,0.0,8.094318824,0.256012575,2.169136511,0.288095508,0.633276638,5.78994071
CHEMBL488771,1,-0.401437941,14.55029376,26.52389325,14.5814791,10.33800214,35.00041817,0.619426366,34.45701141,0.489887034,4.030230933,5.69801554,10.30076712,0.865346181,7.009355841,0.752140169,2.243050857,0.0,11.76188495,7.658434068,0.256009739,2.193815158,0.909401355,0.605345174,3.935785063
CHEMBL3218052,1,-0.426752771,14.56107763,20.90028192,4.794537184,10.94911817,8.022027225,1.330229939,61.87302268,0.112812979,3.268945723,5.688629857,9.551078169,0.337673112,7.008271569,0.751868127,2.237602874,0.0,0.0,7.113590527,0.987143614,2.188001143,0.150744282,0.396608802,-6.50075574
CHEMBL3215963,1,-0.529643982,14.5511498,24.44046618,9.967957042,10.31321452,16.00441418,1.198840212,39.53076089,0.084699815,3.246131677,5.673399485,20.60153425,0.272165527,3.514900975,0.776049695,2.21944301,0.0,14.21959508,7.536338938,0.653451876,2.170371173,0.126895614,0.277777778,-17.73474217
CHEMBL29,1,-0.390291435,14.54386924,24.43423439,9.589074368,10.33782638,16.0020037,0.61731895,19.41092589,0.655866789,4.023074812,5.69416527,10.21669833,0.604241795,7.010455564,0.741414553,2.244077663,22.8000094,0.0,5.157257708,0.659357589,2.194095535,1.153611653,0.877314918,-3.234949662
CHEMBL4087962,1,-0.434928782,14.56034893,20.9217736,28.7672231,10.93703275,8.028569006,1.204022365,112.2757852,0.41037459,3.241554188,5.676101621,41.11899971,0.940820618,7.013765419,0.750863203,2.225343296,71.69412335,12.52416365,7.184809789,1.824359471,2.175532664,0.339814888,0.862372436,1.027354832
CHEMBL573604,1,-0.529372655,14.54335325,24.43422717,4.899909731,10.33808786,16.00200304,0.622272671,31.7085359,0.221426945,4.01706659,5.694204727,4.899909731,0.373413408,7.009373829,0.739547683,2.242666744,29.07930981,40.01374328,5.779199114,0.654938743,2.192399838,0.306662376,0.25,-10.70960977
CHEMBL5639878,1,-0.503227578,13.65123053,20.87262472,0.0,10.97153364,8.038788116,1.323220499,82.60411336,0.012757759,3.277674968,5.710389808,0.0,0.321401267,7.008283223,0.72061713,2.254081191,0.0,0.0,5.191740834,0.987143613,2.20524683,0.037977071,0.045360921,-1.626837653
CHEMBL572447,1,-0.477670218,14.54335364,24.43422748,4.899909731,10.33808835,17.00110393,0.622270853,31.7085359,0.217705429,4.017067541,5.693799167,4.899909731,0.457152626,7.009375359,0.739547871,2.24028781,29.07930981,20.7712116,5.733846813,0.65493493,2.189204515,0.326216112,0.234708048,-4.957658829
CHEMBL3581981,1,-0.529405267,13.63787535,20.91976358,4.794537184,10.94577844,8.022975733,1.184431793,51.55740428,0.12543179,3.286635928,5.685109214,0.0,0.490359125,7.008277201,0.752726301,2.232513175,6.103966388,43.50799995,7.474311214,0.997565874,2.182971866,0.186279021,0.350916477,10.61365562
CHEMBL583271,1,-0.363454623,14.56010533,20.89036018,14.99835797,10.95526998,8.023310692,1.22279671,67.94544139,0.175592761,3.139009049,5.694858684,25.91832285,0.36785113,7.009362572,0.751051256,2.244736009,17.99086139,0.0,5.693100626,1.824536962,2.194765711,0.126416125,0.35549886,-0.914743856
CHEMBL3780603,1,-0.475402031,14.64331958,26.52389366,9.778515705,10.93739013,35.00041837,1.043829909,22.91825565,0.178256094,3.254481151,5.676388003,14.97686957,0.414266427,7.008272183,0.751682963,2.225520646,6.227901171,30.60244139,7.587482738,0.256011616,2.175732875,0.244353164,0.627033725,-2.400260322
CHEMBL5647438,1,-0.503228263,13.65123177,20.87283435,0.0,10.97152873,8.03878965,1.251463299,83.10702894,0.012757759,3.277704004,5.710385086,0.0,0.321401267,7.008283444,0.720616213,2.254077678,0.0,0.0,5.289055861,0.987137838,2.205243115,0.037977071,0.045360921,-1.63854587
CHEMBL4290495,1,-0.522188894,13.650693,24.44173142,0.0,10.31911834,16.01326236,0.300345418,75.98649581,0.104905167,4.043956658,5.685493966,0.0,1.020644161,7.014214482,0.756125039,2.234037008,21.82314406,24.26546827,7.285720713,0.645330504,2.183683406,0.275899815,0.233728155,-1.260332891
CHEMBL2332800,1,-0.424391313,14.75112786,20.897633,9.476340119,10.94912067,8.022036485,1.321129201,98.94416516,0.121784111,3.18317734,5.688666175,29.86173661,0.23570226,7.008273586,0.751861726,2.238140317,0.0,4.681802935,5.845896721,0.98714361,2.188246883,0.139132074,0.482307808,-7.843248476
CHEMBL2047174,1,-0.526879176,14.54371856,26.52703075,9.589074368,10.94536733,35.00344549,1.041300766,36.81018948,0.041666667,3.236341496,5.68840385,21.26715442,0.384900179,7.009365185,0.751220052,2.233616984,0.0,26.3716353,6.308553711,0.255068821,2.18233981,0.204730024,0.111111111,-11.24789113
CHEMBL3216379,1,-0.526392981,14.55119176,24.44047076,9.967957042,10.31320737,16.00441596,1.198833191,116.8775424,0.073352191,3.313626608,5.668874478,20.60153425,0.564720323,3.516799196,0.774896407,2.214674614,0.0,14.21959508,8.025817804,0.653438002,2.165625324,0.145304718,0.226804606,-26.19700964
